CUUNIT,CUDESC,CUTYPE,CUTABL,CUPROM,CUOBSO,CUUNDR,CUMSTI,CUSUBI,CUSYMB,CUSEL1,CUSEL2,CUSEL3,CUSEL4,CUSEL5,CUATR1,CUATR2,CUATR3,CUATR4,CUATR5,CUCOLD,CUHOT,CURMV,CUFERC,CUFEAT,CUKIND,CUADDI,CURNUM,CURDTE,CURDES,CUEFCC,CUEFYY,CUEFMM,CUEFDD,CUCRCC,CUCRYY,CUCRMM,CUCRDD,CUCRTT,CUCRUU,CUCHCC,CUCHYY,CUCHMM,CUCHDD,CUCHTT,CUCHUU
11015S,"CROSSARM,  5'7"", WOOD, PENTA TREATED, 4 1/2"" X 5'7"".",N,SITEINV,Stock Number Assm,A,,STOCK,POT,0,CAW,,,,,,,,,,,,,364,NONGIS,,99,1,1/99,ADDED STOCK AS ASSMBLIES,19,95,1,1,0,0,0,0,0,MNess,20,5,4,15,113441,DDAWSON
11016S,"CROSSARM,  8', REG., WOOD, PENTA TREATED.",N,SITEINV,Stock Number Assm,A,,STOCK,POT,0,CAW,,,,,,,,,,,,,364,NONGIS,,99,1,1/99,ADDED STOCK AS ASSMBLIES,19,95,1,1,0,0,0,0,0,MNess,20,5,4,15,113441,DDAWSON
11017S,"CROSSARM,  8' HEAVY DUTY, WOOD, PENTA TREATED.",N,SITEINV,Stock Number Assm,A,,STOCK,POT,0,CAW,,,,,,,,,,,,,364,NONGIS,,99,1,1/99,ADDED STOCK AS ASSMBLIES,19,95,1,1,0,0,0,0,0,MNess,20,5,4,15,113441,DDAWSON
11018S,"CROSSARM,  10' HEAVY DUTY, WOOD, PENTA TREATED.",N,SITEINV,Stock Number Assm,A,,STOCK,POT,0,CAW,,,,,,,,,,,,,364,NONGIS,,99,1,1/99,ADDED STOCK AS ASSMBLIES,19,95,1,1,0,0,0,0,0,MNess,20,5,4,15,113441,DDAWSON
11019S,"CROSSARM,  10' WOOD, PENTA TREATED, 3 3/4' X 4 3/4"" X 10'",N,SITEINV,Stock Number Assm,A,,STOCK,POT,0,CAW,,,,,,,,,,,,,355,NONGIS,,99,1,1/99,ADDED STOCK AS ASSMBLIES,19,95,1,1,0,0,0,0,0,MNess,20,5,4,15,113441,DDAWSON
11020S,"CROSSARM,  12' WOOD, PENTA TREATED.",N,SITEINV,Stock Number Assm,A,,STOCK,POT,0,CAW,,,,,,,,,,,,,355,NONGIS,,99,1,1/99,ADDED STOCK AS ASSMBLIES,19,95,1,1,0,0,0,0,0,MNess,20,5,4,15,113441,DDAWSON
11021S,"CROSSARM, DEADEND, 48"", BRACELESS.",N,SITEINV,Stock Number Assm,A,,STOCK,POT,0,CAW,,,,,,,,,,,,,355,NONGIS,,99,1,1/99,ADDED STOCK AS ASSMBLIES,19,95,1,1,0,0,0,0,0,MNess,20,5,4,15,113441,DDAWSON
11022S,"Obsolete Armor Line Guards, #2 AAAC,21""",N,SITEINV,Stock Number Assm,O,,STOCK,OHM,0,ALG,,,,,,,,,,,,,355,NONGIS,,,1,06/03,OBSOLETE PER PHIL REED,19,95,1,1,0,0,0,0,0,MNess,20,5,4,15,113443,DDAWSON
11023S,"Obsolete Armor Line Guards, #2 AAAC,33""",N,SITEINV,Stock Number Assm,O,,STOCK,OHM,0,ALG,,,,,,,,,,,,,355,NONGIS,,,1,06/03,OBSOLETE PER PHIL REED,19,95,1,1,0,0,0,0,0,MNess,20,5,4,15,113443,DDAWSON
11024S,"Obsolete Armor Rodding, 2/0 AAAC. 54""",N,SITEINV,Stock Number Assm,O,,STOCK,OHM,0,ALG,,,,,,,,,,,,,355,NONGIS,,,1,06/03,OBSOLETE PER PHIL REED,19,95,1,1,0,0,0,0,0,MNess,20,5,4,15,113443,DDAWSON
11025S,"Obsolete Armor Rodding, 2/0 AAAC, 66""",N,SITEINV,Stock Number Assm,O,,STOCK,OHM,0,ALG,,,,,,,,,,,,,355,NONGIS,,,1,06/03,OBSOLETE PER PHIL REED,19,95,1,1,0,0,0,0,0,MNess,20,5,4,15,113443,DDAWSON
11026S,"ARMOR RODDING, 4/0 AAAC. 60""",N,SITEINV,Stock Number Assm,A,,STOCK,OHM,0,ALG,,,,,,,,,,,,,355,NONGIS,,99,1,1/99,ADDED STOCK AS ASSMBLIES,19,95,1,1,0,0,0,0,0,MNess,20,5,4,15,113444,DDAWSON
11027S,"ARMOR RODDING, #394.5 KCM",N,SITEINV,Stock Number Assm,A,,STOCK,OHM,0,ALG,,,,,,,,,,,,,355,NONGIS,,99,1,1/99,ADDED STOCK AS ASSMBLIES,19,95,1,1,0,0,0,0,0,MNess,20,5,4,15,113444,DDAWSON
